Chain,Tier,Location,ItemActual,ItemTo,ChainID,SubPaste,Amount,Verified,LocationIndex
Aloe>Chewy Raw Gizzard>Pirate Gold Coin [Luivano>Teste],[Level 5],Rickun,Supreme Gold Candlestick,Crow Coins,8,J,,V,70
Rough Red Crystal>Ancient Urn Piece>Urchin Spine [Mariveno>Kuit],[Basic Item],Mariveno,Rough Red Crystal,Ancient Urn Piece,8,K,100,V,11
Rough Red Crystal>Ancient Urn Piece>Urchin Spine [Mariveno>Kuit],[Level 1],Kuit,Ancient Urn Piece,Urchin Spine,8,K,,V,52
Rough Red Crystal>Ancient Urn Piece>Urchin Spine [Mariveno>Kuit],[Level 2],Kanvera,Urchin Spine,Round Knife,8,K,,V,19
Rough Red Crystal>Ancient Urn Piece>Urchin Spine [Mariveno>Kuit],[Level 3],Daton,Round Knife,Pirate's Key,8,K,,V,35
Rough Red Crystal>Ancient Urn Piece>Urchin Spine [Mariveno>Kuit],[Level 4],Ajir,Pirate's Key,Faded Gold Dragon Figurine,8,K,,V,27
Rough Red Crystal>Ancient Urn Piece>Urchin Spine [Mariveno>Kuit],[Level 5],Cox Pirates,Faded Gold Dragon Figurine,Crow Coins,8,K,,V,71
Log>Unidentified Ancient Mural>Islanders' Lunchbox [Ephde Rune>Arita],[Basic Item],Ephde Rune,Log,Unidentified Ancient Mural,8,L,400,V,12
Log>Unidentified Ancient Mural>Islanders' Lunchbox [Ephde Rune>Arita],[Level 1],Arita,Unidentified Ancient Mural,Islanders' Lunchbox,8,L,,V,3
Log>Unidentified Ancient Mural>Islanders' Lunchbox [Ephde Rune>Arita],[Level 2],Arakil,Islanders' Lunchbox,Gooey Monster Blood,8,L,,V,20
Log>Unidentified Ancient Mural>Islanders' Lunchbox [Ephde Rune>Arita],[Level 3],Almai,Gooey Monster Blood,Marine Knights' Helm,8,L,,V,53
Log>Unidentified Ancient Mural>Islanders' Lunchbox [Ephde Rune>Arita],[Level 4],Iliya,Marine Knights' Helm,Taxidermied White Caterpillar,8,L,,V,4
Log>Unidentified Ancient Mural>Islanders' Lunchbox [Ephde Rune>Arita],[Level 5],Naval,Taxidermied White Caterpillar,Crow Coins,8,L,,V,72
Beer>Dried Blue Rose>Islanders' Lunchbox [Baeza>Tinberra],[Basic Item],Baeza,Beer,Dried Blue Rose,9,A,600,V,47
Beer>Dried Blue Rose>Islanders' Lunchbox [Baeza>Tinberra],[Level 1],Tinberra,Dried Blue Rose,Islanders' Lunchbox,9,A,,V,55
Beer>Dried Blue Rose>Islanders' Lunchbox [Baeza>Tinberra],[Level 2],Modric,Islanders' Lunchbox,Old Hourglass,9,A,,V,45
Beer>Dried Blue Rose>Islanders' Lunchbox [Baeza>Tinberra],[Level 3],Shasha,Old Hourglass,Green Salt Lump,9,A,,V,58
Beer>Dried Blue Rose>Islanders' Lunchbox [Baeza>Tinberra],[Level 4],Rameda,Green Salt Lump,Octagonal Box,9,A,,V,41
Beer>Dried Blue Rose>Islanders' Lunchbox [Baeza>Tinberra],[Level 5],Halmad,Octagonal Box,Crow Coins,9,A,,V,60
Grilled Bird Meat>Giant Fish Bone>Cron Castle Gold Coin [Serca>Lerao],[Basic Item],Serca,Grilled Bird Meat,Giant Fish Bone,9,B,600,V,33
Grilled Bird Meat>Giant Fish Bone>Cron Castle Gold Coin [Serca>Lerao],[Level 1],Lerao,Giant Fish Bone,Cron Castle Gold Coin,9,B,,V,56
Grilled Bird Meat>Giant Fish Bone>Cron Castle Gold Coin [Serca>Lerao],[Level 2],Ginburrey,Cron Castle Gold Coin,Torn Pirate Treasure Map,9,B,,V,39
Grilled Bird Meat>Giant Fish Bone>Cron Castle Gold Coin [Serca>Lerao],[Level 3],Rosevan,Torn Pirate Treasure Map,Boatman's Manual,9,B,,V,59
Grilled Bird Meat>Giant Fish Bone>Cron Castle Gold Coin [Serca>Lerao],[Level 4],Theonil,Boatman's Manual,37 Year Old Herbal Wine,9,B,,V,43
Grilled Bird Meat>Giant Fish Bone>Cron Castle Gold Coin [Serca>Lerao],[Level 5],Kashuma,37 Year Old Herbal Wine,Crow Coins,9,B,,V,61
Essence of Liquor>Naval Ration>Pirate Ship Mast [Randis>Portanen],[Basic Item],Randis,Essence of Liquor,Naval Ration,9,C,1400,V,32
Essence of Liquor>Naval Ration>Pirate Ship Mast [Randis>Portanen],[Level 1],Portanen,Naval Ration,Pirate Ship Mast,9,C,,V,57
Essence of Liquor>Naval Ration>Pirate Ship Mast [Randis>Portanen],[Level 2],Dunde,Pirate Ship Mast,Pirates' Supply Box,9,C,,V,36
Essence of Liquor>Naval Ration>Pirate Ship Mast [Randis>Portanen],[Level 3],Orisha,Pirates' Supply Box,Old Chest with Gold Coins,9,C,,V,62
Essence of Liquor>Naval Ration>Pirate Ship Mast [Randis>Portanen],[Level 4],Oben,Old Chest with Gold Coins,Azure Quartz,9,C,,V,35
Essence of Liquor>Naval Ration>Pirate Ship Mast [Randis>Portanen],[Level 5],Derko,Azure Quartz,Crow Coins,9,C,,V,64
Fortune Teller Mushroom>Stained Seagull Figurine>Opulent Marble [Barater>Boa],[Basic Item],Barater,Fortune Teller Mushroom,Stained Seagull Figurine,9,D,2700,V,38
Fortune Teller Mushroom>Stained Seagull Figurine>Opulent Marble [Barater>Boa],[Level 1],Boa,Stained Seagull Figurine,Opulent Marble,9,D,,V,63
Fortune Teller Mushroom>Stained Seagull Figurine>Opulent Marble [Barater>Boa],[Level 2],Albresser,Opulent Marble,Scout Binoculars,9,D,,V,37
Fortune Teller Mushroom>Stained Seagull Figurine>Opulent Marble [Barater>Boa],[Level 3],Tigris,Scout Binoculars,Seashell Deco,9,D,,V,46
Fortune Teller Mushroom>Stained Seagull Figurine>Opulent Marble [Barater>Boa],[Level 4],Padix,Seashell Deco,Taxidermied Morpho Butterfly,9,D,,V,53
Fortune Teller Mushroom>Stained Seagull Figurine>Opulent Marble [Barater>Boa],[Level 5],Hakoven,Taxidermied Morpho Butterfly,Crow Coins,9,D,,V,50
Beer>Raft Toy>Filtered Drinking Water [Staren>Esfah],[Basic Item],Staren,Beer,Raft Toy,9,E,600,V,31
Beer>Raft Toy>Filtered Drinking Water [Staren>Esfah],[Level 1],Esfah,Raft Toy,Filtered Drinking Water,9,E,,V,44
Beer>Raft Toy>Filtered Drinking Water [Staren>Esfah],[Level 2],Louruve,Filtered Drinking Water,Stalactite Fragment,9,E,,V,30
Beer>Raft Toy>Filtered Drinking Water [Staren>Esfah],[Level 3],Shirna,Stalactite Fragment,Panacea,9,E,,V,48
Beer>Raft Toy>Filtered Drinking Water [Staren>Esfah],[Level 4],Narvo,Panacea,Statue's Tear,9,E,,V,29
Beer>Raft Toy>Filtered Drinking Water [Staren>Esfah],[Level 5],Cargo,Statue's Tear,Crow Coins,9,E,,V,65
Grilled Bird Meat>Chewy Raw Gizzard>Conch Shell Ornament [Duch>Sokota],[Basic Item],Duch,Grilled Bird Meat,Chewy Raw Gizzard,9,F,600,V,8
Grilled Bird Meat>Chewy Raw Gizzard>Conch Shell Ornament [Duch>Sokota],[Level 1],Sokota,Chewy Raw Gizzard,Conch Shell Ornament,9,F,,V,40
Grilled Bird Meat>Chewy Raw Gizzard>Conch Shell Ornament [Duch>Sokota],[Level 2],Angie,Conch Shell Ornament,Skull Decorated Teacup,9,F,,V,7
Grilled Bird Meat>Chewy Raw Gizzard>Conch Shell Ornament [Duch>Sokota],[Level 3],Riyed,Skull Decorated Teacup,Headless Dragon Figurine,9,F,,V,42
Grilled Bird Meat>Chewy Raw Gizzard>Conch Shell Ornament [Duch>Sokota],[Level 4],Balvege,Headless Dragon Figurine,Supreme Gold Candlestick,9,F,,V,6
Grilled Bird Meat>Chewy Raw Gizzard>Conch Shell Ornament [Duch>Sokota],[Level 5],Incomplete,Supreme Gold Candlestick,Crow Coins,9,F,,V,66
Essence of Liquor>Ancient Urn Piece>Supreme Oyster Box [Eveto>Teste],[Basic Item],Eveto,Essence of Liquor,Ancient Urn Piece,9,G,1400,V,9
Essence of Liquor>Ancient Urn Piece>Supreme Oyster Box [Eveto>Teste],[Level 1],Teste,Ancient Urn Piece,Supreme Oyster Box,9,G,,V,1
Essence of Liquor>Ancient Urn Piece>Supreme Oyster Box [Eveto>Teste],[Level 2],Marlene,Supreme Oyster Box,Round Knife,9,G,,V,4
Essence of Liquor>Ancient Urn Piece>Supreme Oyster Box [Eveto>Teste],[Level 3],Teyamal,Round Knife,Marine Knights' Helm,9,G,,V,49
Essence of Liquor>Ancient Urn Piece>Supreme Oyster Box [Eveto>Teste],[Level 4],Orffs,Marine Knights' Helm,Faded Gold Dragon Figurine,9,G,,V,14
Essence of Liquor>Ancient Urn Piece>Supreme Oyster Box [Eveto>Teste],[Level 5],Lantinia,Faded Gold Dragon Figurine,Crow Coins,9,G,,V,67
Vinegar>Unidentified Ancient Mural>Big Stone Slab [Luivano>Kuit],[Basic Item],Luivano,Vinegar,Unidentified Ancient Mural,9,H,1400,V,10
Vinegar>Unidentified Ancient Mural>Big Stone Slab [Luivano>Kuit],[Level 1],Kuit,Unidentified Ancient Mural,Big Stone Slab,9,H,,V,51
Vinegar>Unidentified Ancient Mural>Big Stone Slab [Luivano>Kuit],[Level 2],Weita,Big Stone Slab,Gooey Monster Blood,9,H,,V,16
Vinegar>Unidentified Ancient Mural>Big Stone Slab [Luivano>Kuit],[Level 3],Daton,Gooey Monster Blood,Stolen Pirate Dagger,9,H,,V,34
Vinegar>Unidentified Ancient Mural>Big Stone Slab [Luivano>Kuit],[Level 4],Ancient,Stolen Pirate Dagger,Opulent Coral Trinket,9,H,,V,3
Vinegar>Unidentified Ancient Mural>Big Stone Slab [Luivano>Kuit],[Level 5],Pakio,Taxidermied White Caterpillar,Crow Coins,9,H,,V,68
Beer>Cherry Tree Seed Pouch>Narvo Sea Cucumber [Mariveno>Arita],[Basic Item],Mariveno,Beer,Cherry Tree Seed Pouch,9,I,600,V,11
Beer>Cherry Tree Seed Pouch>Narvo Sea Cucumber [Mariveno>Arita],[Level 1],Arita,Cherry Tree Seed Pouch,Narvo Sea Cucumber,9,I,,V,54
Beer>Cherry Tree Seed Pouch>Narvo Sea Cucumber [Mariveno>Arita],[Level 2],Kanvera,Narvo Sea Cucumber,Weasel Leather Coat,9,I,,V,18
Beer>Cherry Tree Seed Pouch>Narvo Sea Cucumber [Mariveno>Arita],[Level 3],Almai,Weasel Leather Coat,Opulent Thread Spool,9,I,,V,52
Beer>Cherry Tree Seed Pouch>Narvo Sea Cucumber [Mariveno>Arita],[Level 4],Ajir,Opulent Thread Spool,Golden Fish Scale,9,I,,V,26
Beer>Cherry Tree Seed Pouch>Narvo Sea Cucumber [Mariveno>Arita],[Level 5],Crow,Golden Fish Scale,Crow Coins,9,I,,V,69
Grilled Bird Meat>Golden Sand>Balanced Stone Pagoda [Ephde Rune>Tashu],[Basic Item],Ephde Rune,Grilled Bird Meat,Golden Sand,9,J,600,V,12
Grilled Bird Meat>Golden Sand>Balanced Stone Pagoda [Ephde Rune>Tashu],[Level 1],Tashu,Golden Sand,Balanced Stone Pagoda,9,J,,V,15
Grilled Bird Meat>Golden Sand>Balanced Stone Pagoda [Ephde Rune>Tashu],[Level 2],Arakil,Balanced Stone Pagoda,Skull Symbol Carpet,9,J,,V,19
Grilled Bird Meat>Golden Sand>Balanced Stone Pagoda [Ephde Rune>Tashu],[Level 3],Lisz,Skull Symbol Carpet,Amethyst Fragment,9,J,,V,28
Grilled Bird Meat>Golden Sand>Balanced Stone Pagoda [Ephde Rune>Tashu],[Level 4],Cholace,Amethyst Fragment,Cox Pirates' Journal,9,J,,V,5
Grilled Bird Meat>Golden Sand>Balanced Stone Pagoda [Ephde Rune>Tashu],[Level 5],Rickun,102 Year Old Golden Herb,Crow Coins,9,J,,V,70
Powder of Crevice>Roa Flower Seed Pouch>Sea Survival Kit [Paratama>Lema],[Basic Item],Paratama,Powder of Crevice,Roa Flower Seed Pouch,9,K,200,V,17
Powder of Crevice>Roa Flower Seed Pouch>Sea Survival Kit [Paratama>Lema],[Level 1],Lema,Roa Flower Seed Pouch,Sea Survival Kit,9,K,,V,2
Powder of Crevice>Roa Flower Seed Pouch>Sea Survival Kit [Paratama>Lema],[Level 2],Taramura,Sea Survival Kit,Rare Herb Pile,9,K,,V,21
Powder of Crevice>Roa Flower Seed Pouch>Sea Survival Kit [Paratama>Lema],[Level 3],Tulu,Rare Herb Pile,Marine Knights' Spear,9,K,,V,13
Powder of Crevice>Roa Flower Seed Pouch>Sea Survival Kit [Paratama>Lema],[Level 4],Pujara,Marine Knights' Spear,Portrait of the Ancient,9,K,,V,27
Powder of Crevice>Roa Flower Seed Pouch>Sea Survival Kit [Paratama>Lema],[Level 5],Cox Pirates,Portrait of the Ancient,Crow Coins,9,K,,V,71
Powder of Flame>Rakeflower Seed Pouch>Monster Tentacle [Beiruwa>Racid],[Basic Item],Beiruwa,Powder of Flame,Rakeflower Seed Pouch,9,L,300,V,20
Powder of Flame>Rakeflower Seed Pouch>Monster Tentacle [Beiruwa>Racid],[Level 1],Racid,Rakeflower Seed Pouch,Monster Tentacle,9,L,,V,24
Powder of Flame>Rakeflower Seed Pouch>Monster Tentacle [Beiruwa>Racid],[Level 2],Ostra,Monster Tentacle,Lopters Fishnet,9,L,,V,22
Powder of Flame>Rakeflower Seed Pouch>Monster Tentacle [Beiruwa>Racid],[Level 3],Al-Naha,Lopters Fishnet,Solidified Lava,9,L,,V,25
Powder of Flame>Rakeflower Seed Pouch>Monster Tentacle [Beiruwa>Racid],[Level 4],Pilava,Solidified Lava,Elixir of Youth,9,L,,V,23
Powder of Flame>Rakeflower Seed Pouch>Monster Tentacle [Beiruwa>Racid],[Level 5],Naval,Elixir of Youth,Crow Coins,9,L,,V,72
Vinegar>Unidentified Ancient Mural>Islanders' Lunchbox [Barater>Teste],[Basic Item],Barater,Vinegar,Unidentified Ancient Mural,10,A,1400,V,38
Vinegar>Unidentified Ancient Mural>Islanders' Lunchbox [Barater>Teste],[Level 1],Teste,Unidentified Ancient Mural,Islanders' Lunchbox,10,A,,V,1
Vinegar>Unidentified Ancient Mural>Islanders' Lunchbox [Barater>Teste],[Level 2],Dunde,Islanders' Lunchbox,Round Knife,10,A,,V,36
Vinegar>Unidentified Ancient Mural>Islanders' Lunchbox [Barater>Teste],[Level 3],Teyamal,Round Knife,Solidified Lava,10,A,,V,49
Vinegar>Unidentified Ancient Mural>Islanders' Lunchbox [Barater>Teste],[Level 4],Oben,Solidified Lava,Taxidermied Morpho Butterfly,10,A,,V,35
Vinegar>Unidentified Ancient Mural>Islanders' Lunchbox [Barater>Teste],[Level 5],Halmad,Taxidermied Morpho Butterfly,Crow Coins,10,A,,V,60
Vinegar>Rakeflower Seed Pouch>Cron Castle Gold Coin [Luivano>Racid],[Basic Item],Luivano,Vinegar,Rakeflower Seed Pouch,10,B,1400,V,11
Vinegar>Rakeflower Seed Pouch>Cron Castle Gold Coin [Luivano>Racid],[Level 1],Racid,Rakeflower Seed Pouch,Cron Castle Gold Coin,10,B,,V,24
Vinegar>Rakeflower Seed Pouch>Cron Castle Gold Coin [Luivano>Racid],[Level 2],Modric,Cron Castle Gold Coin,Old Hourglass,10,B,,V,45
Vinegar>Rakeflower Seed Pouch>Cron Castle Gold Coin [Luivano>Racid],[Level 3],Lisz,Old Hourglass,Marine Knights' Helm,10,B,,V,28
Vinegar>Rakeflower Seed Pouch>Cron Castle Gold Coin [Luivano>Racid],[Level 4],Balvege,Marine Knights' Helm,Faded Gold Dragon Figurine,10,B,,V,6
Vinegar>Rakeflower Seed Pouch>Cron Castle Gold Coin [Luivano>Racid],[Level 5],Kashuma,Faded Gold Dragon Figurine,Crow Coins,10,B,,V,61
Essence of Liquor>Stained Seagull Figurine>Conch Shell Ornament [Paratama>Arita],[Basic Item],Paratama,Essence of Liquor,Stained Seagull Figurine,10,C,1400,V,18
Essence of Liquor>Stained Seagull Figurine>Conch Shell Ornament [Paratama>Arita],[Level 1],Arita,Stained Seagull Figurine,Conch Shell Ornament,10,C,,V,54
Essence of Liquor>Stained Seagull Figurine>Conch Shell Ornament [Paratama>Arita],[Level 2],Ginburrey,Conch Shell Ornament,Gooey Monster Blood,10,C,,V,39
Essence of Liquor>Stained Seagull Figurine>Conch Shell Ornament [Paratama>Arita],[Level 3],Shasha,Gooey Monster Blood,Amethyst Fragment,10,C,,V,58
Essence of Liquor>Stained Seagull Figurine>Conch Shell Ornament [Paratama>Arita],[Level 4],Ajir,Amethyst Fragment,102 Year Old Golden Herb,10,C,,V,26
Essence of Liquor>Stained Seagull Figurine>Conch Shell Ornament [Paratama>Arita],[Level 5],Derko,102 Year Old Golden Herb,Crow Coins,10,C,,V,64
Essence of Liquor>Cherry Tree Seed Pouch>Big Stone Slab [Eveto>Lerao],[Basic Item],Eveto,Essence of Liquor,Cherry Tree Seed Pouch,10,D,1400,V,10
Essence of Liquor>Cherry Tree Seed Pouch>Big Stone Slab [Eveto>Lerao],[Level 1],Lerao,Cherry Tree Seed Pouch,Big Stone Slab,10,D,,V,56
Essence of Liquor>Cherry Tree Seed Pouch>Big Stone Slab [Eveto>Lerao],[Level 2],Louruve,Big Stone Slab,Torn Pirate Treasure Map,10,D,,V,30
Essence of Liquor>Cherry Tree Seed Pouch>Big Stone Slab [Eveto>Lerao],[Level 3],Orisha,Torn Pirate Treasure Map,Boatman's Manual,10,D,,V,62
Essence of Liquor>Cherry Tree Seed Pouch>Big Stone Slab [Eveto>Lerao],[Level 4],Baremi,Boatman's Manual,Mysterious Rock,10,D,,V,16
Essence of Liquor>Cherry Tree Seed Pouch>Big Stone Slab [Eveto>Lerao],[Level 5],Hakoven,Mysterious Rock,Crow Coins,10,D,,V,50
Beer>Giant Fish Bone>Narvo Sea Cucumber [Staren>Esfah],[Basic Item],Staren,Beer,Giant Fish Bone,10,E,600,V,31
Beer>Giant Fish Bone>Narvo Sea Cucumber [Staren>Esfah],[Level 1],Esfah,Giant Fish Bone,Narvo Sea Cucumber,10,E,,V,44
Beer>Giant Fish Bone>Narvo Sea Cucumber [Staren>Esfah],[Level 2],Weita,Narvo Sea Cucumber,Scout Binoculars,10,E,,V,17
Beer>Giant Fish Bone>Narvo Sea Cucumber [Staren>Esfah],[Level 3],Shirna,Scout Binoculars,Headless Dragon Figurine,10,E,,V,48
Beer>Giant Fish Bone>Narvo Sea Cucumber [Staren>Esfah],[Level 4],Padix,Headless Dragon Figurine,Taxidermied White Caterpillar,10,E,,V,53
Beer>Giant Fish Bone>Narvo Sea Cucumber [Staren>Esfah],[Level 5],Cargo,Taxidermied White Caterpillar,Crow Coins,10,E,,V,65
Essence of Liquor>Golden Sand>Opulent Marble [Randis>Portanen],[Basic Item],Randis,Essence of Liquor,Golden Sand,10,F,1400,V,32
Essence of Liquor>Golden Sand>Opulent Marble [Randis>Portanen],[Level 1],Portanen,Golden Sand,Opulent Marble,10,F,,V,57
Essence of Liquor>Golden Sand>Opulent Marble [Randis>Portanen],[Level 2],Taramura,Opulent Marble,Stalactite Fragment,10,F,,V,22
Essence of Liquor>Golden Sand>Opulent Marble [Randis>Portanen],[Level 3],Riyed,Stalactite Fragment,Old Chest with Gold Coins,10,F,,V,42
Essence of Liquor>Golden Sand>Opulent Marble [Randis>Portanen],[Level 4],Narvo,Old Chest with Gold Coins,Elixir of Youth,10,F,,V,29
Essence of Liquor>Golden Sand>Opulent Marble [Randis>Portanen],[Level 5],Incomplete,Elixir of Youth,Crow Coins,10,F,,V,66
Grilled Bird Meat>Dried Blue Rose>Pirate Ship Mast [Serca>Boa],[Basic Item],Serca,Grilled Bird Meat,Dried Blue Rose,10,G,600,V,33
Grilled Bird Meat>Dried Blue Rose>Pirate Ship Mast [Serca>Boa],[Level 1],Boa,Dried Blue Rose,Pirate Ship Mast,10,G,,V,63
Grilled Bird Meat>Dried Blue Rose>Pirate Ship Mast [Serca>Boa],[Level 2],Albresser,Pirate Ship Mast,Lopters Fishnet,10,G,,V,37
Grilled Bird Meat>Dried Blue Rose>Pirate Ship Mast [Serca>Boa],[Level 3],Tigris,Lopters Fishnet,Opulent Thread Spool,10,G,,V,46
Grilled Bird Meat>Dried Blue Rose>Pirate Ship Mast [Serca>Boa],[Level 4],Theonil,Opulent Thread Spool,Azure Quartz,10,G,,V,43
Grilled Bird Meat>Dried Blue Rose>Pirate Ship Mast [Serca>Boa],[Level 5],Lantinia,Azure Quartz,Crow Coins,10,G,,V,67
Beer>Roa Flower Seed Pouch>Filtered Drinking Water [Baeza>Tinberra],[Basic Item],Baeza,Beer,Roa Flower Seed Pouch,10,H,600,V,47
Beer>Roa Flower Seed Pouch>Filtered Drinking Water [Baeza>Tinberra],[Level 1],Tinberra,Roa Flower Seed Pouch,Filtered Drinking Water,10,H,,V,55
Beer>Roa Flower Seed Pouch>Filtered Drinking Water [Baeza>Tinberra],[Level 2],Angie,Filtered Drinking Water,Skull Decorated Teacup,10,H,,V,8
Beer>Roa Flower Seed Pouch>Filtered Drinking Water [Baeza>Tinberra],[Level 3],Tulu,Skull Decorated Teacup,Green Salt Lump,10,H,,V,14
Beer>Roa Flower Seed Pouch>Filtered Drinking Water [Baeza>Tinberra],[Level 4],Ancient,Green Salt Lump,Rust Repair Tool,10,H,,V,3
Beer>Roa Flower Seed Pouch>Filtered Drinking Water [Baeza>Tinberra],[Level 5],Pakio,Golden Fish Scale,Crow Coins,10,H,,V,68
Grilled Bird Meat>Raft Toy>Sea Survival Kit [Duch>Tashu],[Basic Item],Duch,Grilled Bird Meat,Raft Toy,10,I,600,V,9
Grilled Bird Meat>Raft Toy>Sea Survival Kit [Duch>Tashu],[Level 1],Tashu,Raft Toy,Sea Survival Kit,10,I,,V,15
Grilled Bird Meat>Raft Toy>Sea Survival Kit [Duch>Tashu],[Level 2],Kanvera,Sea Survival Kit,Pirates' Supply Box,10,I,,V,19
Grilled Bird Meat>Raft Toy>Sea Survival Kit [Duch>Tashu],[Level 3],Daton,Pirates' Supply Box,Panacea,10,I,,V,34
Grilled Bird Meat>Raft Toy>Sea Survival Kit [Duch>Tashu],[Level 4],Pujara,Panacea,Portrait of the Ancient,10,I,,V,27
Grilled Bird Meat>Raft Toy>Sea Survival Kit [Duch>Tashu],[Level 5],Crow,Portrait of the Ancient,Crow Coins,10,I,,V,69
Beer>Naval Ration>Balanced Stone Pagoda [Mariveno>Kuit],[Basic Item],Mariveno,Beer,Naval Ration,10,J,600,V,12
Beer>Naval Ration>Balanced Stone Pagoda [Mariveno>Kuit],[Level 1],Kuit,Naval Ration,Balanced Stone Pagoda,10,J,,V,51
Beer>Naval Ration>Balanced Stone Pagoda [Mariveno>Kuit],[Level 2],Ostra,Balanced Stone Pagoda,Rare Herb Pile,10,J,,V,23
Beer>Naval Ration>Balanced Stone Pagoda [Mariveno>Kuit],[Level 3],Al-Naha,Rare Herb Pile,Seashell Deco,10,J,,V,25
Beer>Naval Ration>Balanced Stone Pagoda [Mariveno>Kuit],[Level 4],Cholace,Seashell Deco,Otters Fish Hook,10,J,,V,5
Beer>Naval Ration>Balanced Stone Pagoda [Mariveno>Kuit],[Level 5],Rickun,Supreme Gold Candlestick,Crow Coins,10,J,,V,70
Vinegar>Ancient Urn Piece>Supreme Oyster Box [Beiruwa>Lema],[Basic Item],Beiruwa,Vinegar,Ancient Urn Piece,10,K,1400,V,21
Vinegar>Ancient Urn Piece>Supreme Oyster Box [Beiruwa>Lema],[Level 1],Lema,Ancient Urn Piece,Supreme Oyster Box,10,K,,V,2
Vinegar>Ancient Urn Piece>Supreme Oyster Box [Beiruwa>Lema],[Level 2],Arakil,Supreme Oyster Box,Skull Symbol Carpet,10,K,,V,20
Vinegar>Ancient Urn Piece>Supreme Oyster Box [Beiruwa>Lema],[Level 3],Rosevan,Skull Symbol Carpet,Stolen Pirate Dagger,10,K,,V,59
Vinegar>Ancient Urn Piece>Supreme Oyster Box [Beiruwa>Lema],[Level 4],Wandering,Stolen Pirate Dagger,Observatory Report,10,K,,V,7
Vinegar>Ancient Urn Piece>Supreme Oyster Box [Beiruwa>Lema],[Level 5],Cox Pirates,Statue's Tear,Crow Coins,10,K,,V,71
Grilled Bird Meat>Chewy Raw Gizzard>Monster Tentacle [Ephde Rune>Sokota],[Basic Item],Ephde Rune,Grilled Bird Meat,Chewy Raw Gizzard,10,L,600,V,13
Grilled Bird Meat>Chewy Raw Gizzard>Monster Tentacle [Ephde Rune>Sokota],[Level 1],Sokota,Chewy Raw Gizzard,Monster Tentacle,10,L,,V,40
Grilled Bird Meat>Chewy Raw Gizzard>Monster Tentacle [Ephde Rune>Sokota],[Level 2],Marlene,Monster Tentacle,Weasel Leather Coat,10,L,,V,4
Grilled Bird Meat>Chewy Raw Gizzard>Monster Tentacle [Ephde Rune>Sokota],[Level 3],Almai,Weasel Leather Coat,Marine Knights' Spear,10,L,,V,52
Grilled Bird Meat>Chewy Raw Gizzard>Monster Tentacle [Ephde Rune>Sokota],[Level 4],Rameda,Marine Knights' Spear,Luxury Patterned Fabric,10,L,,V,41
Grilled Bird Meat>Chewy Raw Gizzard>Monster Tentacle [Ephde Rune>Sokota],[Level 5],Naval,Luxury Patterned Fabric,Crow Coins,10,L,,V,72
Spirit's Leaf>Raft Toy>Cron Castle Gold Coin [Ephde Rune>Tinberra],[Basic Item],Ephde Rune,Spirit's Leaf,Raft Toy,11,A,200,V,14
Spirit's Leaf>Raft Toy>Cron Castle Gold Coin [Ephde Rune>Tinberra],[Level 1],Tinberra,Raft Toy,Cron Castle Gold Coin,11,A,,,55
Spirit's Leaf>Raft Toy>Cron Castle Gold Coin [Ephde Rune>Tinberra],[Level 2],Albresser,Cron Castle Gold Coin,Ancient Orders,11,A,,,38
Spirit's Leaf>Raft Toy>Cron Castle Gold Coin [Ephde Rune>Tinberra],[Level 3],Teyamal,Ancient Orders,Seashell Deco,11,A,,,50
Spirit's Leaf>Raft Toy>Cron Castle Gold Coin [Ephde Rune>Tinberra],[Level 4],Iliya,Seashell Deco,Statue's Tear,11,A,,,4
Spirit's Leaf>Raft Toy>Cron Castle Gold Coin [Ephde Rune>Tinberra],[Level 5],Halmad,Statue's Tear,Crow Coins,11,A,,,60
Fruit of Magic Power>Chewy Raw Gizzard>Pirate Ship Mast [Paratama>Lerao],[Basic Item],Paratama,Fruit of Magic Power,Chewy Raw Gizzard,11,B,20,V,19
Fruit of Magic Power>Chewy Raw Gizzard>Pirate Ship Mast [Paratama>Lerao],[Level 1],Lerao,Chewy Raw Gizzard,Pirate Ship Mast,11,B,,,56
Fruit of Magic Power>Chewy Raw Gizzard>Pirate Ship Mast [Paratama>Lerao],[Level 2],Louruve,Pirate Ship Mast,Blue Candle Bundle,11,B,,,31
Fruit of Magic Power>Chewy Raw Gizzard>Pirate Ship Mast [Paratama>Lerao],[Level 3],Daton,Blue Candle Bundle,Panacea,11,B,,,35
Fruit of Magic Power>Chewy Raw Gizzard>Pirate Ship Mast [Paratama>Lerao],[Level 4],Pujara,Panacea,Supreme Gold Candlestick,11,B,,,29
Fruit of Magic Power>Chewy Raw Gizzard>Pirate Ship Mast [Paratama>Lerao],[Level 5],Kashuma,Supreme Gold Candlestick,Crow Coins,11,B,,,61
Rough Mud Crystal>Ancient Urn Piece>Opulent Marble [Beiruwa>Portanen],[Basic Item],Beiruwa,Rough Mud Crystal,Ancient Urn Piece,11,C,100,V,22
Rough Mud Crystal>Ancient Urn Piece>Opulent Marble [Beiruwa>Portanen],[Level 1],Portanen,Ancient Urn Piece,Opulent Marble,11,C,,,57
Rough Mud Crystal>Ancient Urn Piece>Opulent Marble [Beiruwa>Portanen],[Level 2],Angie,Opulent Marble,Old Hourglass,11,C,,,9
